city,rooms_semi_integer,rooms,extra_space,floor,surface_m2,NIS,property_type,price_surface
Bat Yam,5,5,0,3,113,6000,apartment,53.1
Bat Yam,4,4,0,8,125,5700,apartment,45.6
Bat Yam,3,3,0,13,90,7200,apartment,80
Bat Yam,2,2,0,12,50,5500,apartment,110
Bat Yam,2,2,0,11,42,8500,apartment,202.38
Bat Yam,3,3,0,1,95,4600,apartment,48.42
Bat Yam,4.5,4,1,2,95,5700,apartment,60
Bat Yam,3,3,0,0,70,5600,garden apartment,80
Bat Yam,2,2,0,0,58,4000,apartment,68.97
Bat Yam,2,2,0,1,40,3350,apartment,83.75
Bat Yam,2,2,0,0,48,3700,apartment,77.08
Bat Yam,2,2,0,5,45,5000,apartment,111.11
Bat Yam,5,5,0,24,147,8700,apartment,59.18
Bat Yam,5,5,0,33,128,8200,apartment,64.06
Bat Yam,4,4,0,22,160,9000,apartment,56.25
Bat Yam,2.5,2,1,2,50,3600,apartment,72
Bat Yam,3,3,0,3,70,4200,apartment,60
Bat Yam,3,3,0,6,90,5900,apartment,65.56
Bat Yam,3,3,0,3,70,4200,apartment,60
Bat Yam,3,3,0,2,70,4400,apartment,62.86
Bat Yam,2.5,2,1,3,60,4100,apartment,68.33
Bat Yam,3,3,0,2,73,5350,apartment,73.29
Bat Yam,4,4,0,1,100,6900,apartment,69
Bat Yam,4,4,0,2,120,7500,apartment,62.5
Bat Yam,3,3,0,3,80,4300,apartment,53.75
Bat Yam,4,4,0,2,120,4000,apartment,33.33
Bat Yam,2.5,2,1,3,65,4700,apartment,72.31
Bat Yam,3.5,3,1,7,98,5500,apartment,56.12
Bat Yam,4,4,0,2,100,5600,apartment,56
Bat Yam,3,3,0,27,105,8200,apartment,78.1
Bat Yam,2.5,2,1,2,60,4200,apartment,70
Bat Yam,3,3,0,6,83,7000,apartment,84.34
Bat Yam,2,2,0,4,63,4190,apartment,66.51
Bat Yam,2,2,0,0,55,5200,garden apartment,94.55
Bat Yam,4,4,0,5,114,8800,apartment,77.19
Bat Yam,4,4,0,4,100,5900,apartment,59
Bat Yam,2.5,2,1,0,55,3500,apartment,63.64
Bat Yam,2,2,0,0,60,3200,apartment,53.33
Bat Yam,4,4,0,30,148,9200,apartment,62.16
Bat Yam,4.5,4,1,1,105,5400,penthouse,51.43
Bat Yam,3.5,3,1,2,90,4000,apartment,44.44
