year,week,temp_mean,temp_min,temp_max,cold_hours,hot_hours,activity_level,activity_level_label,season
2013,32,20.52428273809526,10.700000000000045,28.03000000000003,0,23,1,Minimal,2012-13
2013,33,18.300015873017873,8.0,27.620000000000005,9,9,1,Minimal,2012-13
2013,34,20.760937500000022,13.390000000000043,28.650000000000034,0,28,1,Minimal,2012-13
2013,35,22.28596934523812,13.07000000000005,28.83000000000004,0,28,1,Minimal,2012-13
2013,36,17.88452728174407,7.0,28.600000000000023,14,7,1,Minimal,2012-13
2013,37,18.14946418650597,5.353333333000023,31.710000000000036,16,22,1,Minimal,2012-13
2013,38,15.311833829369059,5.0,26.0,22,2,1,Minimal,2012-13
2013,39,13.443598908726207,3.614500000000021,23.920000000000016,49,0,1,Minimal,2012-13
2013,40,18.89240823413097,10.35250000000002,27.0,0,7,1,Minimal,2013-14
2013,41,13.523235317464298,5.900500000000022,22.060000000000002,36,0,1,Minimal,2013-14
2013,42,12.099126984119069,3.0,21.586000000000013,52,0,1,Minimal,2013-14
2013,43,5.351818055559538,-1.0,17.0,147,0,1,Minimal,2013-14
2013,44,8.630582840236709,-2.387666666999962,18.01066666700001,102,0,1,Minimal,2013-14
2013,45,5.9352762896845475,-3.044999999999959,20.53000000000003,136,0,1,Minimal,2013-14
2013,46,4.948779761904783,-4.639999999999986,15.480000000000018,125,0,1,Minimal,2013-14
2013,47,1.9307142857142903,-11.0,13.0,154,0,1,Minimal,2013-14
2013,48,-2.020782738095229,-11.0,5.900000000000034,168,0,1,Minimal,2013-14
2013,49,3.280297619047643,-9.299999999999955,15.910000000000025,133,0,1,Minimal,2013-14
2013,50,-3.2743005952380804,-11.399999999999977,4.070500000000038,168,0,1,Minimal,2013-14
2013,51,4.893654761904783,-9.0,18.700000000000045,100,0,1,Minimal,2013-14
2013,52,-0.07180654761902278,-11.849999999999966,11.660000000000025,163,0,5,Low,2013-14
2014,1,-4.487404658765602,-14.810000000000002,10.918000000000006,190,0,5,Low,2013-14
2014,2,-1.4022976190475969,-19.579999999999984,11.670000000000016,144,0,4,Low,2013-14
2014,3,4.05772708391073,-7.359999999999957,12.689999999999998,114,0,5,Low,2013-14
2014,4,-8.819106498196406,-18.99999999999997,10.918000000000006,166,0,6,Moderate,2013-14
2014,5,-5.514345238095216,-22.629999999999967,10.930000000000007,166,0,5,Low,2013-14
2014,6,-6.195416666666644,-15.799999999999955,1.0900000000000318,168,0,4,Low,2013-14
2014,7,-6.802857142857122,-16.639999999999986,0.7600000000000477,168,0,2,Minimal,2013-14
2014,8,2.6008333333333553,-16.039999999999964,12.720000000000027,151,0,2,Minimal,2013-14
2014,9,-5.76708333333331,-18.049999999999983,8.0,168,0,1,Minimal,2013-14
2014,10,-3.2696332335329132,-16.569999999999993,11.400000000000034,163,0,1,Minimal,2013-14
2014,11,3.55166666666669,-13.20999999999998,19.03000000000003,128,0,1,Minimal,2013-14
2014,12,2.761369047619073,-6.7099999999999795,11.770000000000039,156,0,1,Minimal,2013-14
2014,13,1.490059523809546,-10.909999999999968,15.680000000000007,135,0,1,Minimal,2013-14
2014,14,8.873035714285736,-4.1200000000000045,24.33000000000004,87,0,1,Minimal,2013-14
2014,15,12.182797619047639,1.580000000000041,27.27000000000004,69,7,1,Minimal,2013-14
2014,16,10.223332341267879,-5.139999999999986,23.170000000000016,84,0,1,Minimal,2013-14
2014,17,10.78916666666669,-2.4599999999999795,25.710000000000036,83,3,1,Minimal,2013-14
2014,18,11.503555380434545,4.078333333000046,17.39833333300004,43,0,1,Minimal,2013-14
2014,19,16.313266690660736,0.9700000000000273,28.720000000000027,30,20,1,Minimal,2013-14
2014,20,15.904779761904784,4.270000000000039,30.704000000000008,41,17,1,Minimal,2013-14
2014,21,16.28938265551788,2.390000000000043,25.430000000000007,23,4,1,Minimal,2013-14
2014,22,19.88023809523812,9.850000000000023,27.879999999999995,1,24,1,Minimal,2013-14
2014,23,19.15115617250002,7.840000000000032,27.670000000000016,6,22,1,Minimal,2013-14
2014,24,18.974637233910737,9.410000000000025,27.390000000000043,2,12,1,Minimal,2013-14
2014,25,21.716169117607166,14.155677317000027,29.89966666700002,0,39,1,Minimal,2013-14
2014,26,22.813724515702404,15.487000000000023,30.03000000000003,0,49,1,Minimal,2013-14
2014,27,22.16786734848812,10.13566666700001,30.370000000000005,0,47,1,Minimal,2013-14
2014,28,23.31365482613098,15.220000000000027,29.0,0,64,1,Minimal,2013-14
2014,29,19.680175578440497,10.550000000000011,26.350000000000023,0,10,1,Minimal,2013-14
2014,30,21.89470882536907,10.110000000000014,30.930000000000007,0,46,1,Minimal,2013-14
2014,31,18.133485151755973,9.428333333000012,28.07000000000005,4,12,1,Minimal,2013-14
2014,32,20.58329476319645,12.70166666700004,28.0,0,29,1,Minimal,2013-14
2014,33,17.92711011904764,8.333333333000041,23.454666667000026,7,0,1,Minimal,2013-14
2014,34,21.689211309523834,16.855000000000018,26.944666667000035,0,24,1,Minimal,2013-14
2014,35,20.668139880952403,10.656000000000006,28.313333333000003,0,21,1,Minimal,2013-14
2014,36,21.669752976190498,12.450000000000045,29.565666667000016,0,28,1,Minimal,2013-14
2014,37,17.824824404761927,5.368666667000014,26.64433333300002,12,12,1,Minimal,2013-14
2014,38,15.315848214285737,4.954000000000008,24.15433333300001,25,0,1,Minimal,2013-14
2014,39,14.750345238095262,4.555000000000007,23.40433333300001,25,0,1,Minimal,2013-14
2014,40,14.475276785714309,3.369666667000047,25.274,35,1,1,Minimal,2014-15
2014,41,11.493181547619068,2.033666667000034,19.397000000000048,59,0,1,Minimal,2014-15
2014,42,14.12003571428574,4.029666667000015,24.45833333300004,31,0,1,Minimal,2014-15
2014,43,9.114994047619073,1.1866666669999972,16.504333333000034,105,0,1,Minimal,2014-15
2014,44,8.395972386585823,-2.939666666999983,22.906000000000006,109,0,1,Minimal,2014-15
2014,45,6.2821150793690705,-4.764999999999986,13.751000000000033,136,0,1,Minimal,2014-15
2014,46,2.817019841267882,-9.60766666699999,18.395666667,134,0,1,Minimal,2014-15
2014,47,-1.5136269841249776,-11.93199999999996,14.687000000000012,155,0,1,Minimal,2014-15
2014,48,4.87051984126788,-5.274333332999959,17.047666667000044,120,0,3,Minimal,2014-15
2014,49,3.2457767857143076,-5.42133333299995,15.04000000000002,154,0,2,Minimal,2014-15
2014,50,0.8195228174583539,-3.4376666669999736,6.7606666670000095,168,0,5,Low,2014-15
2014,51,-0.02547420634521693,-8.425666666999973,8.738,168,0,9,High,2014-15
2014,52,5.139027777773833,-3.4289999999999736,15.032333332999997,149,0,10,High,2014-15
2015,1,2.2070625000000224,-6.802666666999983,14.251666666999995,75,0,9,High,2014-15
2015,2,-9.163308531744025,-16.84566666699999,1.8070000000000164,168,0,8,High,2014-15
2015,3,-2.2967648809523586,-11.954999999999984,7.792333333000045,168,0,10,High,2014-15
2015,4,-0.7694732142856906,-8.83766666699995,3.7953333330000305,168,0,10,High,2014-15
2015,5,-4.5422470238095,-15.383999999999958,5.076000000000022,168,0,9,High,2014-15
2015,6,-3.20619146825593,-16.22399999999999,9.44500000000005,168,0,5,Low,2014-15
2015,7,-6.628326388886881,-20.240333332999967,6.700666667000007,168,0,4,Low,2014-15
2015,8,-10.930587301589261,-23.72733333299999,1.9613333330000273,168,0,3,Minimal,2014-15
2015,9,-8.343926587303548,-22.663999999999987,3.217666667000003,168,0,4,Low,2014-15
