pennsylvania_AL,pennsylvania_AL_label,pennsylvania_weekend,pennsylvania_week,pennsylvania_season
6,Moderate,2017-12-30,52,2017-18
6,Moderate,2018-01-06,1,2017-18
7,Moderate,2018-01-13,2,2017-18
10,High,2018-01-20,3,2017-18
10,High,2018-01-27,4,2017-18
10,High,2018-02-03,5,2017-18
10,High,2018-02-10,6,2017-18
10,High,2018-02-17,7,2017-18
10,High,2018-02-24,8,2017-18
9,High,2018-03-03,9,2017-18
6,Moderate,2018-03-10,10,2017-18
6,Moderate,2018-03-17,11,2017-18
5,Low,2018-03-24,12,2017-18
5,Low,2018-03-31,13,2017-18
4,Low,2018-04-07,14,2017-18
3,Minimal,2018-04-14,15,2017-18
2,Minimal,2018-04-21,16,2017-18
2,Minimal,2018-04-28,17,2017-18
2,Minimal,2018-05-05,18,2017-18
1,Minimal,2018-05-12,19,2017-18
1,Minimal,2018-05-19,20,2017-18
1,Minimal,2018-05-26,21,2017-18
1,Minimal,2018-06-02,22,2017-18
1,Minimal,2018-06-09,23,2017-18
1,Minimal,2018-06-16,24,2017-18
1,Minimal,2018-06-23,25,2017-18
1,Minimal,2018-06-30,26,2017-18
1,Minimal,2018-07-07,27,2017-18
1,Minimal,2018-07-14,28,2017-18
1,Minimal,2018-07-21,29,2017-18
1,Minimal,2018-07-28,30,2017-18
1,Minimal,2018-08-04,31,2017-18
1,Minimal,2018-08-11,32,2017-18
1,Minimal,2018-08-18,33,2017-18
1,Minimal,2018-08-25,34,2017-18
1,Minimal,2018-09-01,35,2017-18
1,Minimal,2018-09-08,36,2017-18
1,Minimal,2018-09-15,37,2017-18
1,Minimal,2018-09-22,38,2017-18
1,Minimal,2018-09-29,39,2017-18
