year,week,temp_mean,temp_min,temp_max,cold_hours,hot_hours,activity_level,activity_level_label,season
2013,44,9.800165680473395,6.213000000000022,15.42366666700002,107,0,1,Minimal,2013-14
2013,45,7.547067460315496,-2.329999999999984,14.100000000000023,112,0,1,Minimal,2013-14
2013,46,5.521535714285735,-6.659999999999968,18.010000000000048,130,0,1,Minimal,2013-14
2013,47,6.455839285714296,-8.0,12.043000000000006,96,0,1,Minimal,2013-14
2013,48,-0.5099583333333134,-9.829999999999984,12.043000000000006,163,0,2,Minimal,2013-14
2013,49,-0.6734523809523558,-12.46999999999997,13.189999999999998,157,0,2,Minimal,2013-14
2013,50,-4.2654345238095095,-17.779999999999973,12.043000000000006,138,0,4,Low,2013-14
2013,51,-0.8937559523809301,-11.989999999999952,12.043000000000006,160,0,4,Low,2013-14
2013,52,-3.6427380952380704,-17.779999999999973,10.650000000000034,167,0,9,High,2013-14
2014,1,-7.284881510541644,-16.939999999999998,12.043000000000006,191,0,9,High,2013-14
2014,2,-1.9380276204702187,-21.60899999999998,12.043000000000006,135,0,6,Moderate,2013-14
2014,3,2.3134865811131116,-12.21999999999997,12.043000000000006,113,0,4,Low,2013-14
2014,4,-9.25661288035117,-17.779999999999973,12.043000000000006,164,0,4,Low,2013-14
2014,5,-9.972797619047597,-24.25999999999999,-0.12000000000000455,168,0,2,Minimal,2013-14
2014,6,-11.071904761904737,-18.00999999999999,-4.539999999999964,168,0,2,Minimal,2013-14
2014,7,-9.788154761904739,-18.74999999999997,-0.3599999999999568,168,0,1,Minimal,2013-14
2014,8,-0.5335119047618858,-8.0,8.800000000000011,168,0,1,Minimal,2013-14
2014,9,-9.568214285714262,-16.789999999999964,-1.0,168,0,1,Minimal,2013-14
2014,10,-4.960079341317345,-17.22999999999999,8.0,167,0,1,Minimal,2013-14
2014,11,1.4188095238095466,-11.019999999999982,11.990000000000009,158,0,1,Minimal,2013-14
2014,12,2.157083333333356,-8.049999999999955,13.520000000000039,159,0,1,Minimal,2013-14
2014,13,0.9715476190476419,-9.759999999999991,13.5,157,0,1,Minimal,2013-14
2014,14,6.061886904761929,-0.2999999999999545,19.02000000000004,140,0,1,Minimal,2013-14
2014,15,12.281190476190499,2.0100000000000477,25.58000000000004,59,3,1,Minimal,2013-14
2014,16,7.88525694444645,-3.0,25.32000000000005,109,4,1,Minimal,2013-14
2014,17,11.209523809523832,1.3600000000000136,23.77000000000004,81,0,1,Minimal,2013-14
2014,18,9.030614583333355,5.667500000000018,12.870000000000005,115,0,1,Minimal,2013-14
2014,19,16.818479604607166,5.65015894000004,32.03000000000003,29,18,1,Minimal,2013-14
2014,20,12.521357142857166,2.6370000000000005,29.03800000000001,66,11,1,Minimal,2013-14
2014,21,18.38610191689883,9.730000000000018,30.32000000000005,3,26,1,Minimal,2013-14
2014,22,21.04922619047621,11.490000000000009,31.129999999999995,0,43,1,Minimal,2013-14
2014,23,20.061959188767883,10.660000000000025,27.960000000000036,0,32,1,Minimal,2013-14
2014,24,17.653539491660734,11.870000000000005,28.680000000000007,0,6,1,Minimal,2013-14
2014,25,19.75506110209526,12.262333333000015,28.660000000000025,0,16,1,Minimal,2013-14
2014,26,19.728207443279786,11.858666667000023,30.480000000000018,0,18,1,Minimal,2013-14
2014,27,21.186644635785733,13.94235170600001,30.49000000000001,0,26,1,Minimal,2013-14
2014,28,23.539995374041684,15.0,30.470000000000027,0,58,1,Minimal,2013-14
